نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
فروژ,صنايع فروآلياژ ايران,64788,16332189,814516508900,52100,51800,49950,-2150,-4.13,49850,-2250,-4.32,49500,51800
كرمان,س. توسعه و عمران استان كرمان,24414,1364253478,1717245415932,1200,1250,1284,84,7,1259,59,4.92,1205,1284
دي,بانك دي,24102,1364313436,1187105414436,846,853,888,42,4.96,870,24,2.84,836,888
خودرو,ايران‌ خودرو,20984,809214125,2452911078191,3135,3150,3022,-113,-3.6,3031,-104,-3.32,2979,3190
شستا,سرمايه گذاري تامين اجتماعي,17454,845220747,837237745973,1019,1020,989,-30,-2.94,991,-28,-2.75,977,1020
پالايش,صندوق پالايشي يكم-سهام,16557,21293080,2415708974970,117100,116100,114990,-2110,-1.8,113450,-3650,-3.12,112000,116800
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,15968,390399286,1582454461794,4226,4290,4006,-220,-5.21,4053,-173,-4.09,3943,4294
وسديد,گروه ‌صنعتي‌سديد,15047,521764684,1515592516288,2843,2928,2910,67,2.36,2905,62,2.18,2758,2928
اردستان,سيمان اردستان,14759,4218413,51759927510,11690,12270,12270,580,4.96,12270,580,4.96,12270,12270
آواپارس,بيمه اتكايي آواي پارس70% تاديه,14641,67440111,202320333000,1000,3000,3000,2000,200,3000,2000,200,3000,3000
شتران,پالايش نفت تهران,13149,323873262,1318903542373,4218,4188,4066,-152,-3.6,4072,-146,-3.46,4013,4188
خساپا,سايپا,12566,678340822,1625301715168,2514,2420,2395,-119,-4.73,2396,-118,-4.69,2389,2440
شپنا,پالايش نفت اصفهان,11885,181556990,1325401898260,7530,7480,7400,-130,-1.73,7300,-230,-3.05,7110,7500
دارا يكم,صندوق واسطه گري مالي يكم-سهام,10578,10738198,1206583429450,116660,115800,111130,-5530,-4.74,112360,-4300,-3.69,110260,116500
وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,10432,777718519,1514621456814,1831,1900,1959,128,6.99,1948,117,6.39,1854,1959
فاذر,صنايع‌ آذرآب‌,9125,513315721,959475132551,1792,1881,1881,89,4.97,1869,77,4.3,1800,1881
افران,صندوق س افرا نماد پايدار-ثابت,9060,323747801,6146297179045,18970,18985,18985,15,0.08,18985,15,0.08,18984,18986
شبندر,پالايش نفت بندرعباس,8858,91138135,814806323570,9150,9140,8990,-160,-1.75,8940,-210,-2.3,8820,9140
وتجارت,بانك تجارت,8716,377533728,634563905897,1749,1748,1690,-59,-3.37,1681,-68,-3.89,1640,1770
گشان,توسعه بين المللي پديده شانديز,8566,27911406,1298719413200,47550,48000,46200,-1350,-2.84,46550,-1000,-2.1,46150,48700
وبملت,بانك ملت,8204,324819433,1079504115818,3456,3420,3310,-146,-4.22,3323,-133,-3.85,3281,3448
تپكو,توليدتجهيزات‌سنگين‌هپكو,8187,335904933,603431027280,1772,1825,1740,-32,-1.81,1796,24,1.35,1719,1825
فرابورس,فرابورس ايران,7862,59561142,628478786480,11170,11020,10390,-780,-6.98,10550,-620,-5.55,10390,11290
گدنا,تهيه توزيع غذاي دنا آفرين فدك,7713,55826260,628557153230,12000,11750,11160,-840,-7,11260,-740,-6.17,11160,11900
دانا,بيمه دانا,7570,211802765,706787041412,3222,3350,3352,130,4.03,3337,115,3.57,3150,3426
كمند,صندوق س. با درآمد ثابت كمند,7419,413463429,4186269322309,10118,10125,10125,7,0.07,10125,7,0.07,10124,10126
اهرم,صندوق س سهامي كاريزما- اهرمي,7213,105861875,1420274113470,14090,13900,13310,-780,-5.54,13420,-670,-4.76,13150,13900
طلا,صندوق س.پشتوانه طلاي لوتوس,6990,6725488,1013184139911,150829,147000,153678,2849,1.89,150648,-181,-0.12,147000,153679
خاور,ايران خودرو ديزل,6957,290333480,1016516940292,3606,3580,3498,-108,-3,3501,-105,-2.91,3498,3634
فولاد,فولاد مباركه اصفهان,6761,118382059,719736194500,6210,6200,6100,-110,-1.77,6080,-130,-2.09,6030,6200
عيار,صندوق طلاي عيار مفيد,6702,8333670,494523350790,60115,58500,61780,1665,2.77,59340,-775,-1.29,56001,63100
كالا,بورس كالاي ايران,6328,37217566,719522128180,19990,20330,19380,-610,-3.05,19330,-660,-3.3,18810,20330
تسه1401,امتيازتسهيلات مسكن سال1401,6002,224449,276841175482,1227835,1220110,1237008,9173,0.75,1233426,5591,0.46,1220110,1245000
خبهمن,گروه‌بهمن‌,5936,295465878,632044955366,2241,2299,2130,-111,-4.95,2139,-102,-4.55,2095,2299
هماي,صندوق س هماي آگاه-ثابت,5900,154883180,1554532713217,10025,10037,10038,13,0.13,10037,12,0.12,10036,10038
فملي,ملي‌ صنايع‌ مس‌ ايران‌,5588,93175808,708276698380,7780,7720,7610,-170,-2.19,7600,-180,-2.31,7520,7720
ذوب,ذوب آهن اصفهان,5489,164832452,503825797661,3103,3180,3035,-68,-2.19,3057,-46,-1.48,2948,3199
انرژي,بورس انرژي ايران,5352,9780844,376151017040,40790,41200,37940,-2850,-6.99,38460,-2330,-5.71,37940,41200
آپ,آسان پرداخت پرشين,5245,58479557,484689559250,8000,8490,8210,210,2.63,8290,290,3.63,8000,8550
وكبهمن,مديريت سرمايه گذاري كوثربهمن,5121,55288627,193336510772,3494,3494,3600,106,3.03,3497,3,0.09,3251,3650
غنوش,نوش‌ مازندران‌,5065,32560805,305786211510,9700,9950,9430,-270,-2.78,9390,-310,-3.2,9220,9970
بوعلي,پتروشيمي بوعلي سينا,4952,8932941,322768200750,37230,37010,36470,-760,-2.04,36130,-1100,-2.95,35450,37010
سكه0312ن06,ربع سكه 0312رفاه(ن),4762,1739700,1391700226300,818315,1636630,773000,-45315,-5.54,799966,-18349,-2.24,773000,1636630
حكشتي,كشتيراني جمهوري اسلامي ايران,4700,23410023,624719351960,27560,27130,26380,-1180,-4.28,26690,-870,-3.16,26270,27560
هاي وب,داده گسترعصرنوين-هاي وب,4551,89128118,232598195465,2706,2685,2590,-116,-4.29,2610,-96,-3.55,2550,2749
فولاي,صنايع فولاد آلياژي يزد,4535,68993932,426916580090,6393,6650,6078,-315,-4.93,6188,-205,-3.21,5946,6650
كگل,معدني و صنعتي گل گهر,4500,46909376,395559254270,8640,8600,8400,-240,-2.78,8430,-210,-2.43,8110,8670
شپديس,پتروشيمي پرديس,4483,2391326,367318101300,156510,156510,154180,-2330,-1.49,153600,-2910,-1.86,150720,157000
اسياتك,انتقال داده هاي آسياتك,4326,14389292,225260668010,16370,16100,15560,-810,-4.95,15650,-720,-4.4,15560,16300
وخارزم,سرمايه گذاري خوارزمي,4316,75183284,320995824008,4482,4502,4271,-211,-4.71,4270,-212,-4.73,4169,4530
وساپا,سرمايه‌گذاري‌ سايپا,4290,101102090,575812274140,6020,6160,5660,-360,-5.98,5700,-320,-5.32,5600,6170
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,4231,84976429,4356205641401,51225,51263,51264,39,0.08,51264,39,0.08,51263,51265
غزر,صنعتي زر ماكارون,4173,60192398,236262848676,4095,4053,3891,-204,-4.98,3925,-170,-4.15,3891,4090
سمگا,گروه سرمايه گذاري ميراث فرهنگي,4168,46241937,301267364020,6880,6930,6410,-470,-6.83,6520,-360,-5.23,6400,6930
فتوسا,توليد و توسعه سرب روي ايرانيان,4085,33227201,252765730520,8060,8120,7500,-560,-6.95,7610,-450,-5.58,7500,8120
نوري,پتروشيمي نوري,4012,3204286,319616166070,101880,100400,100400,-1480,-1.45,99750,-2130,-2.09,98560,101890
خپويش,سازه‌ پويش‌,3968,21043600,482339863680,23400,24410,22450,-950,-4.06,22920,-480,-2.05,22230,24410
كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,3953,181323095,296194640060,1606,1669,1619,13,0.81,1634,28,1.74,1570,1710
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3927,104254827,231868935066,2319,2300,2203,-116,-5,2224,-95,-4.1,2185,2357
ثاميد,توسعه و عمران اميد,3925,31976903,59404248262,1912,1916,1858,-54,-2.82,1858,-54,-2.82,1826,1940
