نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
ددانا,داروسازي دانا,60307,6406915,267809047000,39450,41800,41800,2350,5.96,41800,2350,5.96,41800,41800
اسياتك,انتقال داده هاي آسياتك,41129,60586602,939323529940,14810,15550,15550,740,5,15500,690,4.66,14600,15550
سآبيك,سيمان آبيك,36805,40284146,660257152940,15610,16390,16390,780,5,16390,780,5,16390,16390
شستا,سرمايه گذاري تامين اجتماعي,19926,829624587,832169307098,1015,1017,997,-18,-1.77,1003,-12,-1.18,996,1033
خودرو,ايران‌ خودرو,15893,626364203,1354191494364,2262,2251,2149,-113,-5,2162,-100,-4.42,2149,2266
شپنا,پالايش نفت اصفهان,14400,202531940,1391456903550,6770,7010,6800,30,0.44,6870,100,1.48,6750,7060
پالايش,صندوق پالايشي يكم-سهام,13183,16407226,1283694495940,77730,79160,77450,-280,-0.36,78240,510,0.66,77300,79700
خساپا,سايپا,11319,441711231,871429728039,2059,2059,1957,-102,-4.95,1973,-86,-4.18,1957,2075
دارا يكم,صندوق واسطه گري مالي يكم-سهام,10609,8068258,918739989520,115840,116580,112860,-2980,-2.57,113870,-1970,-1.7,112770,116580
كارين2,صندوق س نگين سامان-ثابت,10000,1000000000,1000000000,10035,1,1,-10034,-99.99,1,-10034,-99.99,1,1
كرمان,س. توسعه و عمران استان كرمان,9741,402041806,405123280028,1055,1065,992,-63,-5.97,1008,-47,-4.45,992,1065
فاذر,صنايع‌ آذرآب‌,8960,657370619,773207710366,1135,1191,1150,15,1.32,1176,41,3.61,1125,1191
فولاد,فولاد مباركه اصفهان,8097,67288466,804835573370,12110,12120,11980,-130,-1.07,11960,-150,-1.24,11750,12250
وتجارت,بانك تجارت,7874,219538422,454275631803,2148,2157,2030,-118,-5.49,2069,-79,-3.68,2026,2160
كمند,صندوق س. با درآمد ثابت كمند,7725,428696455,4342426557924,10113,10129,10129,16,0.16,10129,16,0.16,10129,10130
فملي,ملي‌ صنايع‌ مس‌ ايران‌,7491,103172073,759117201740,7400,7400,7400,0,0,7360,-40,-0.54,7190,7410
شتران,پالايش نفت تهران,7444,106572893,580074831350,5490,5620,5370,-120,-2.19,5440,-50,-0.91,5300,5660
وبملت,بانك ملت,6979,240397399,924737047750,3883,3900,3820,-63,-1.62,3847,-36,-0.93,3780,3900
شبندر,پالايش نفت بندرعباس,6784,73357171,659453721850,8930,9170,8900,-30,-0.34,8990,60,0.67,8840,9220
وخارزم,سرمايه گذاري خوارزمي,6475,94904529,490813275930,5260,5400,5080,-180,-3.42,5170,-90,-1.71,5060,5400
حكشتي,كشتيراني جمهوري اسلامي ايران,6068,32454632,732902040530,22940,23440,21950,-990,-4.32,22580,-360,-1.57,21870,23790
بجهرم,توسعه مولد نيروگاهي جهرم,5765,190679240,499824295790,2509,2634,2620,111,4.42,2621,112,4.46,2562,2634
تسه1401,امتيازتسهيلات مسكن سال1401,5759,345381,404303744775,1169664,1140000,1203000,33336,2.85,1170602,938,0.08,1138000,1228000
سكرد,سيمان كردستان,5669,52803222,575684175900,10530,11050,10400,-130,-1.23,10900,370,3.51,10200,11050
خپارس,پارس‌ خودرو,5537,273951369,307651583053,1173,1171,1115,-58,-4.94,1123,-50,-4.26,1115,1181
انرژي,بورس انرژي ايران,5305,5939987,336662147170,59260,58560,56300,-2960,-4.99,56680,-2580,-4.35,56300,59850
فزر,پويا زركان آق دره,5220,10422619,293198035800,29300,28900,28000,-1300,-4.44,28150,-1150,-3.92,27550,29200
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,5208,135576238,325939016794,2336,2373,2390,54,2.31,2404,68,2.91,2342,2470
بپيوند,برق و انرژي پيوندگستر پارس,5176,17837515,248551289630,13430,14230,13590,160,1.19,13930,500,3.72,13480,14230
فرابورس,فرابورس ايران,5173,27990658,371768182830,13990,14050,13170,-820,-5.86,13280,-710,-5.08,13160,14200
وسپهر,سرمايه گذاري مالي سپهرصادرات,5165,25074505,213305413670,8840,9140,8580,-260,-2.94,8510,-330,-3.73,8310,9140
مديريت,س. و خدمات مديريت صند. ب كشوري,4994,29389124,267692053640,9520,9850,8960,-560,-5.88,9110,-410,-4.31,8950,9850
زقيام,كشت و دام قيام اصفهان,4843,119371574,343248850577,2735,2899,2899,164,6,2875,140,5.12,2766,2899
غنوش,نوش‌ مازندران‌,4833,41134372,509976153890,11900,12490,12400,500,4.2,12400,500,4.2,12070,12490
خبهمن,گروه‌بهمن‌,4716,155713703,281831347627,1855,1871,1796,-59,-3.18,1810,-45,-2.43,1771,1885
