نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اسياتك,انتقال داده هاي آسياتك,14739,14649764,188372577020,12270,12860,12880,610,4.97,12860,590,4.81,12610,12880
شستا,سرمايه گذاري تامين اجتماعي,13569,658176852,683938302125,1040,1042,1039,-1,-0.1,1039,-1,-0.1,1032,1052
افرا,افرانت,12397,37154642,1443638790950,39300,37400,37350,-1950,-4.96,38850,-450,-1.15,37350,40900
مديريت,س. و خدمات مديريت صند. ب كشوري,11419,146361951,1437392358150,9280,9830,9830,550,5.93,9820,540,5.82,9650,9830
پالايش,صندوق پالايشي يكم-سهام,11366,12060257,956953521930,79420,79600,79100,-320,-0.4,79350,-70,-0.09,78640,80010
بهير,س. توسعه تجارت هيرمند,11133,13751660,106278409900,7510,7660,7730,220,2.93,7730,220,2.93,7510,7730
حگهر,حمل و نقل گهرترابر سيرجان,9978,50089588,455646647660,8590,9090,9100,510,5.94,9100,510,5.94,8810,9100
شپنا,پالايش نفت اصفهان,9743,156741720,1030335906120,6520,6520,6580,60,0.92,6570,50,0.77,6470,6680
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,9344,264676174,1068760427908,4114,4069,4081,-33,-0.8,4038,-76,-1.85,3980,4140
خودرو,ايران‌ خودرو,9324,307525970,725807126087,2363,2355,2364,1,0.04,2360,-3,-0.13,2326,2387
خساپا,سايپا,9304,384564600,821868430241,2153,2150,2128,-25,-1.16,2137,-16,-0.74,2101,2161
فروسيل,فروسيليسيم خمين,8944,4119710,139452183500,32250,33850,33850,1600,4.96,33850,1600,4.96,33850,33850
كمند,صندوق س. با درآمد ثابت كمند,7480,316515358,3195734714039,10090,10096,10097,7,0.07,10097,7,0.07,10096,10098
فولاد,فولاد مباركه اصفهان,7097,90110710,1129884635110,12550,12560,12560,10,0.08,12540,-10,-0.08,12400,12600
كرمان,س. توسعه و عمران استان كرمان,7071,318030753,322985551198,1025,1030,1006,-19,-1.85,1016,-9,-0.88,999,1045
ذوب,ذوب آهن اصفهان,7019,180252571,530948597578,3015,2873,2961,-54,-1.79,2946,-69,-2.29,2873,2983
شبندر,پالايش نفت بندرعباس,6964,78559675,706881211620,9010,9080,8960,-50,-0.55,9000,-10,-0.11,8930,9080
ددانا,داروسازي دانا,6731,1044276,34669963200,31350,33200,33200,1850,5.9,33200,1850,5.9,33200,33200
دارا يكم,صندوق واسطه گري مالي يكم-سهام,6580,4202851,499710710430,119440,119000,118600,-840,-0.7,118900,-540,-0.45,118500,119440
بترانس,ايران‌ ترانسفو,6513,395983090,1060652430427,2534,2580,2639,105,4.14,2679,145,5.72,2545,2686
وتجارت,بانك تجارت,6439,246818388,555901532301,2251,2270,2249,-2,-0.09,2252,1,0.04,2223,2279
غدام,خوراك‌  دام‌ پارس‌,6239,10004411,615149803270,60650,57620,63670,3020,4.98,61490,840,1.38,57620,63680
سپيد,سپيد ماكيان,6030,13115672,311289593620,24050,23810,23340,-710,-2.95,23730,-320,-1.33,23180,24500
غزر,صنعتي زر ماكارون,5736,26281603,278450974530,10640,10360,10510,-130,-1.22,10590,-50,-0.47,10280,11000
سيمرغ,سيمرغ,5617,17307261,494024391100,29010,28860,28000,-1010,-3.48,28540,-470,-1.62,27930,29500
وبملت,بانك ملت,5523,179240247,709109178796,3945,3961,3960,15,0.38,3956,11,0.28,3902,3982
فملي,ملي‌ صنايع‌ مس‌ ايران‌,5445,71305270,538057581830,7540,7550,7550,10,0.13,7550,10,0.13,7520,7600
پارس,پتروشيمي پارس,5403,113208183,308288718030,2692,2680,2725,33,1.23,2723,31,1.15,2680,2776
شتران,پالايش نفت تهران,5203,75442811,421942490060,5590,5600,5570,-20,-0.36,5590,0,0,5550,5660
شلرد,كود شيميايي اوره لردگان,5164,81037666,979233386260,12160,11800,12520,360,2.96,12080,-80,-0.66,11800,12520
امين يكم,صندوق درآمد ثابت امين يكم فردا,4927,144869856,1448747842486,10147,10000,10001,-146,-1.44,10000,-147,-1.45,9999,10004
غگل,گلوكوزان‌,4877,57855707,294766760430,4950,4930,5190,240,4.85,5090,140,2.83,4830,5190
ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,4555,85943893,531100684920,6390,6400,6050,-340,-5.32,6180,-210,-3.29,6030,6430
تليسه,دامداري تليسه نمونه,4549,58826289,278406681446,4984,5000,4685,-299,-6,4733,-251,-5.04,4685,5049
هماي,صندوق س هماي آگاه-ثابت,4543,117535677,1176211587739,10174,10008,10008,-166,-1.63,10007,-167,-1.64,10006,10008
