نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,23520,633224372,2848695934418,4757,4780,4469,-288,-6.05,4499,-258,-5.42,4425,4860
دي,بانك دي,22312,1077073463,946481241955,914,900,869,-45,-4.92,879,-35,-3.83,869,930
خودرو,ايران‌ خودرو,22085,934850049,3069888593698,3390,3480,3251,-139,-4.1,3284,-106,-3.13,3221,3490
شتران,پالايش نفت تهران,21896,567579638,2388370051941,4174,4240,4268,94,2.25,4208,34,0.81,4122,4284
پالايش,صندوق پالايشي يكم-سهام,21500,30057714,3531992910710,117230,120000,116700,-530,-0.45,117510,280,0.24,116520,120100
خساپا,سايپا,18825,1124443223,2718177137103,2540,2425,2418,-122,-4.8,2417,-123,-4.84,2413,2470
شستا,سرمايه گذاري تامين اجتماعي,17072,901527745,948073643148,1082,1094,1047,-35,-3.23,1052,-30,-2.77,1036,1095
كرمان,س. توسعه و عمران استان كرمان,16907,824242271,949027497428,1216,1225,1150,-66,-5.43,1151,-65,-5.35,1131,1230
شبندر,پالايش نفت بندرعباس,16861,221503155,2077027254180,9660,9740,9380,-280,-2.9,9380,-280,-2.9,9230,9740
فولاد,فولاد مباركه اصفهان,14448,257670035,1583039003060,6400,6190,6130,-270,-4.22,6140,-260,-4.06,6100,6310
كالا,بورس كالاي ايران,13888,80331518,1627135393860,21490,21500,20030,-1460,-6.79,20260,-1230,-5.72,19990,21840
شپنا,پالايش نفت اصفهان,13254,184186772,1415471302290,7880,7980,7670,-210,-2.66,7680,-200,-2.54,7480,7980
دارا يكم,صندوق واسطه گري مالي يكم-سهام,11909,16321094,1967190465370,120670,122000,119660,-1010,-0.84,120530,-140,-0.12,118910,122300
وتجارت,بانك تجارت,11781,450153264,839625299337,1925,1920,1850,-75,-3.9,1865,-60,-3.12,1826,1940
