نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
طسپا3015,اختيارف خساپا-2000-1401/03/25,5,105,5250000,51,50,50,-1,-1.96,50,-1,-1.96,50,50
اخزا0092,اسناد خزانه-م9بودجه00-031101,5,262,150804640,576150,575150,576260,110,0.02,575590,-560,-0.1,575150,576260
اخزا0032,اسنادخزانه-م3بودجه00-030418,5,134,86399660,645480,645000,645000,-480,-0.07,644770,-710,-0.11,644260,645000
سخند,صندوق س.سپهرخبرگان نفت-د,5,2050,20668550,10084,10081,10081,-3,-0.03,10082,-2,-0.02,10081,10086
اراد65,مرابحه عام دولتي65-ش.خ0210,5,104000,98800000000,985000,950000,950000,-35000,-3.55,950000,-35000,-3.55,950000,950000
ضپلا4007,اختيارخ پالايش-90000-01/04/29,5,500,12250000,2500,2250,2500,0,0,2450,-50,-2,2250,2500
گنجينه2,صندوق س. گنجينه داريوش-د,5,17500000,17500000,10101,1,1,-10100,-99.99,1,-10100,-99.99,1,1
افران2,صندوق س افرا نماد پايدار-ثابت,5,27000000,27000000,16403,1,1,-16402,-99.99,1,-16402,-99.99,1,1
اخزا818,اسنادخزانه-م18بودجه98-010614,5,1100,1041028000,947000,947000,948890,1890,0.2,946390,-610,-0.06,944900,948890
اخزا0072,اسنادخزانه-م7بودجه00-030912,5,189,112022650,593260,592630,592550,-710,-0.12,592710,-550,-0.09,592550,592850
ضستر3009,اختيارخ خگستر-5000-1401/03/22,5,104,1948000,20,17,20,0,0,19,-1,-5,17,20
اراد94,مرابحه عام دولت94-ش.خ030816,5,40400,39551600000,952650,979000,979000,26350,2.77,979000,26350,2.77,979000,979000
نبورس,نهادهاي مالي بورس اوراق بهادار,5,746911,6901457640,8720,9240,9240,520,5.96,8790,70,0.8,9240,9240
زعف0110پ21,زعفران0110نگين ملل(پ),4,2930,1175005000,401000,401000,407000,6000,1.5,401026,26,0.01,401000,407000
اراد31,مرابحه عام دولت3-ش.خ 0208,4,3100,2978500000,970000,985000,945000,-25000,-2.58,960810,-9190,-0.95,945000,990000
زعف0110پ16,زعفران0110نگين بيرجند(پ),4,76,31090920,409998,409000,409173,-825,-0.2,409091,-907,-0.22,409000,409173
ضترا8068,اختيارخ شتران-5770-1401/08/08,4,90,71980000,1,799,800,799,79900,800,799,79900,799,800
زعف0110پ09,زعفران0110نگين نوين(پ),4,1400,563500000,409919,402500,402500,-7419,-1.81,402500,-7419,-1.81,402500,402500
ضملت3012,اختيارخ وبملت-3500-1401/03/18,4,92,36630000,380,381,465,85,22.37,398,18,4.74,381,465
طفلا3013,اختيارف فولاد-12000-1401/03/18,4,15,3750000,200,250,250,50,25,250,50,25,250,250
تملي801,تسهيلات مسكن ب. ملي-فروردين98,4,82,38317020,491431,466860,468010,-23421,-4.77,467281,-24150,-4.91,466860,468010
ضشنا8012,اختيارخ شپنا-4850-1401/08/29,4,77,142730000,1801,1850,1990,189,10.49,1854,53,2.94,1850,1990
اخزا814,اسنادخزانه-م14بودجه98-010318,4,700,694403000,991500,991500,993000,1500,0.15,992000,500,0.05,991500,993000
اخزا9032,اسنادخزانه-م3بودجه99-011110,4,77,67157130,871990,870650,870600,-1390,-0.16,872170,180,0.02,870600,875020
پتروما,صندوق س.بخشي پتروشيمي دماوند-ب,4,11583,124859717,10786,10780,10777,-9,-0.08,10780,-6,-0.06,10777,10780
ضسپا8050,اختيارخ خساپا-1800-1401/08/25,3,120,58700000,509,480,490,-19,-3.73,489,-20,-3.93,480,490
