نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
ضهرم6003,اختيارخ اهرم-13000-1401/06/30,2598,140627,2954920960,2559,2000,2110,-449,-17.55,2101,-458,-17.9,2000,2150
گدنا,تهيه توزيع غذاي دنا آفرين فدك,2565,2806799,38669393810,14210,13720,13650,-560,-3.94,13780,-430,-3.03,13500,14290
خنصير,مهندسي‌نصيرماشين‌,2564,10008547,154916876760,16190,15450,15390,-800,-4.94,15480,-710,-4.39,15390,16100
فردا,صندوق س آواي فرداي زاگرس-ثابت,2533,122146935,1601948852921,13108,13114,13115,7,0.05,13115,7,0.05,13114,13116
حفاري,حفاري شمال,2525,33108898,148146278460,4713,4500,4475,-238,-5.05,4475,-238,-5.05,4431,4687
غمارگ,مارگارين‌,2497,52515634,167220504380,3293,3110,3278,-15,-0.46,3184,-109,-3.31,3101,3350
نوري,پتروشيمي نوري,2487,1663993,196410748390,117810,119000,117790,-20,-0.02,118040,230,0.2,117010,119000
وساپا,سرمايه‌گذاري‌ سايپا,2480,52456706,253483131800,4920,4920,4790,-130,-2.64,4830,-90,-1.83,4700,5070
فجهانح,ح. مجتمع جهان فولاد سيرجان,2476,4848406,8688404996,1830,1805,1786,-44,-2.4,1792,-38,-2.08,1780,1816
اعتلا,شركت سرمايه گذاري اعتلاء البرز,2415,32349872,151878023404,4470,4730,4559,89,1.99,4695,225,5.03,4470,4738
آپ,آسان پرداخت پرشين,2404,19436867,132346243110,7140,6800,6840,-300,-4.2,6810,-330,-4.62,6790,6940
آبادا,توليد نيروي برق آبادان,2385,5363288,67963258740,12290,11800,12900,610,4.96,12670,380,3.09,11800,12900
كماسه,تامين‌ ماسه‌ ريخته‌گري‌,2384,48776283,196946824326,3862,3913,4037,175,4.53,4038,176,4.56,3890,4055
فجهان,مجتمع جهان فولاد سيرجان,2310,6792264,23073859686,3474,3420,3385,-89,-2.56,3454,-20,-0.58,3350,3473
سرو,صندوق س سروسودمند مدبران-سهام,2290,10143911,804203857470,77900,78500,81450,3550,4.56,79280,1380,1.77,77900,81900
تجلي,تجلي توسعه معادن و فلزات,2276,58677821,88943022732,1510,1500,1515,5,0.33,1516,6,0.4,1500,1547
فتوسا,توليد و توسعه سرب روي ايرانيان,2275,18044268,142934508080,7620,7620,8000,380,4.99,7920,300,3.94,7500,8000
غبشهر,صنعتي‌ بهشهر,2221,60477315,249559478434,4043,3950,4285,242,5.99,4126,83,2.05,3903,4285
امين يكم,صندوق درآمد ثابت امين يكم فردا,2215,63386364,634729679696,10007,10016,10016,9,0.09,10014,7,0.07,10012,10016
فوكا,فولاد كاويان,2206,15897276,241795304980,15110,15200,15560,450,2.98,15210,100,0.66,15000,15560
غصينو,صنعتي مينو,2198,10178931,153633294900,15810,15100,15290,-520,-3.29,15090,-720,-4.55,15020,15500
بگيلان,توسعه مسير برق گيلان,2153,2353139,34590444650,14260,13800,14970,710,4.98,14700,440,3.09,13750,14970
گشان,توسعه بين المللي پديده شانديز,2147,6925311,138484919000,20550,20300,20100,-450,-2.19,20000,-550,-2.68,19950,20500
فاراك,ماشين‌ سازي‌ اراك‌,2137,72632244,116083365447,1607,1560,1611,4,0.25,1598,-9,-0.56,1551,1640
شبريز,پالايش نفت تبريز,2122,14192720,317060412050,22340,22500,22280,-60,-0.27,22340,0,0,22270,22650
فسبزوار,پارس فولاد سبزوار,2098,1917936,52714463340,27440,27330,27490,50,0.18,27480,40,0.15,27310,27750
شوينده,مديريت صنعت شوينده ت.ص.بهشهر,2082,4710251,109067444640,23020,23580,22480,-540,-2.35,23160,140,0.61,22310,23990
زكشت,كشاورزي مكانيزه اصفهان كشت,2080,8118286,194949878850,23450,22100,24850,1400,5.97,24000,550,2.35,22050,24850
خزاميا,زامياد,2074,19971105,186829354860,9330,9500,9350,20,0.21,9350,20,0.21,9240,9550
چكاپا,گروه صنايع كاغذ پارس,2045,33136542,105848427840,3300,3170,3140,-160,-4.85,3194,-106,-3.21,3135,3299
وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,2031,2574877,288078006760,106810,111000,112150,5340,5,111880,5070,4.75,108000,112150
شاروم,پتروشيمي اروميه,2020,1411403,21853738760,15500,15500,15330,-170,-1.1,15480,-20,-0.13,15150,15850
فاذر,صنايع‌ آذرآب‌,2004,217456142,235057618152,1032,1030,1083,51,4.94,1081,49,4.75,1029,1083
كيسون,شركت كيسون,1997,101109367,174421612643,1676,1684,1720,44,2.63,1725,49,2.92,1667,1726
بوعلي,پتروشيمي بوعلي سينا,1992,543877,47793410930,87510,86200,88150,640,0.73,87690,180,0.21,86200,88530
وخارزم,سرمايه گذاري خوارزمي,1992,38707094,192940105020,4760,4650,5040,280,5.88,4980,220,4.62,4650,5040
غويتا,ويتانا,1991,15565690,84440515960,5470,5460,5470,0,0,5420,-50,-0.91,5230,5650
غگيلا,شيرپاستوريزه پگاه گيلان,1981,3456096,51437303480,15470,14920,14980,-490,-3.17,14880,-590,-3.81,14700,15430
بورس,بورس اوراق بهادار تهران,1979,16670464,145293102060,8760,8760,8730,-30,-0.34,8720,-40,-0.46,8530,8900
ورازي,بيمه رازي,1955,59869221,119921358369,2031,1972,2068,37,1.82,2003,-28,-1.38,1971,2080
شگويا,پتروشيمي تندگويان,1913,9533701,115577964920,12130,12100,12150,20,0.16,12120,-10,-0.08,12050,12350
بكاب,صنايع‌جوشكاب‌يزد,1906,1655265,106799256750,67830,64440,64440,-3390,-5,64520,-3310,-4.88,64440,67360
صباح,ح . گروه مالي صبا تامين,1890,14572235,34099301060,2338,2301,2350,12,0.51,2340,2,0.09,2300,2370
غشهداب,كشت و صنعت شهداب ناب خراسان,1877,27396772,73534834270,2805,2663,2690,-115,-4.1,2684,-121,-4.31,2637,2780
كيمياتك,آريان كيميا تك,1868,1519432,40273854940,26930,26120,26400,-530,-1.97,26510,-420,-1.56,26020,26990
افران,صندوق س افرا نماد پايدار-ثابت,1859,33896405,555992441517,16392,16403,16403,11,0.07,16403,11,0.07,16402,16405
توسن,توسعه سامانه ي نرم افزاري نگين,1828,1547279,32419804650,21150,20300,20950,-200,-0.95,20950,-200,-0.95,20300,22000
پتاير,ايران‌ تاير,1818,32622663,51864687253,1599,1598,1590,-9,-0.56,1590,-9,-0.56,1553,1630
وپارس,بانك‌پارسيان‌,1814,47973168,94605357936,1986,1978,1967,-19,-0.96,1974,-12,-0.6,1911,2000
وپويا,سرمايه گذاري پويا,1802,16643197,40043506193,2380,2339,2488,108,4.54,2406,26,1.09,2300,2510
ثشاهد,سرمايه‌ گذاري‌ شاهد,1792,14374277,132230368580,9100,8790,9280,180,1.98,9200,100,1.1,8790,9440
ثنوسا,نوسازي‌وساختمان‌تهران‌,1790,25590185,122980204640,5020,4800,4790,-230,-4.58,4810,-210,-4.18,4770,5000
زماهان,مجتمع توليد گوشت مرغ ماهان,1788,10635753,92717119320,9070,8550,8770,-300,-3.31,8720,-350,-3.86,8530,9010
قچار,فراوردههاي غذايي وقند چهارمحال,1778,10674463,113275461280,10920,11000,10580,-340,-3.11,10610,-310,-2.84,10460,11030
قرن,پديده شيمي قرن,1768,5445227,132827331430,24860,24990,24110,-750,-3.02,24390,-470,-1.89,23970,25750
ختوقا,قطعات‌ اتومبيل‌ ايران‌,1766,28767116,93293360393,3221,3196,3275,54,1.68,3243,22,0.68,3130,3329
خزر,فنرسازي‌زر,1763,46516612,152007300263,2790,3320,3215,425,15.23,3268,478,17.13,3151,3350
بجهرم,توسعه مولد نيروگاهي جهرم,1750,45064672,107682763432,2313,2299,2428,115,4.97,2390,77,3.33,2251,2428
وتوكا,سرمايه‌گذاري‌توكافولاد(هلدينگ,1735,7941154,81237017650,10210,10050,10300,90,0.88,10230,20,0.2,10050,10350
خمحركه,نيرو محركه‌,1719,20308898,79254061116,4068,3944,3860,-208,-5.11,3902,-166,-4.08,3824,4050
بشهاب,لامپ‌  پارس‌ شهاب‌,1716,716377,66920468120,91390,91390,94200,2810,3.07,93420,2030,2.22,86830,95700
صبا,گروه مالي صبا تامين,1712,18095749,88520449320,4880,4800,4910,30,0.61,4890,10,0.2,4750,4980
وثنوح,ح. سرمايه گذاري ساختماني نوين,1711,34294853,44488753891,1306,1267,1345,39,2.99,1297,-9,-0.69,1267,1345
كارا,صندوق س. كارا -د,1707,107100846,1220228026545,11386,11393,11394,8,0.07,11393,7,0.06,11393,11395
فباهنر,مس‌ شهيدباهنر,1702,3845636,122763255670,32190,31560,31990,-200,-0.62,31920,-270,-0.84,31020,32600
تسه9903,امتياز تسهيلات مسكن خرداد99,1695,18073,20861345151,1205075,1144822,1150022,-55053,-4.57,1154282,-50793,-4.21,1144822,1205075
كبافق,معادن‌ بافق‌,1692,2753088,100400859730,38140,36260,36240,-1900,-4.98,36470,-1670,-4.38,36240,37800
سامان,بانك سامان,1688,86963704,317634891792,3551,3657,3657,106,2.99,3652,101,2.84,3446,3657
حآسا,آسيا سير ارس,1675,8672080,116118690290,14190,13390,13340,-850,-5.99,13390,-800,-5.64,13340,13980
طلا,صندوق س.پشتوانه طلاي لوتوس,1637,2393193,245166075356,100675,102004,102204,1529,1.52,102443,1768,1.76,102000,102648
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,1636,10603373,155046807760,14600,14320,14760,160,1.1,14620,20,0.14,14320,14780
وبرق,س.کارکنان صنعت برق زنجان وقزوي,1627,1755481,145673279650,85350,83400,82800,-2550,-2.99,83000,-2350,-2.75,82800,84800
خودكفا,اقتصادي و خودكفايي آزادگان,1613,17443302,129462554150,7630,7410,7410,-220,-2.88,7420,-210,-2.75,7410,7650
ثاخت,بين‌المللي‌توسعه‌ساختمان,1597,43073025,99195539328,2318,2251,2304,-14,-0.6,2303,-15,-0.65,2227,2395
كفپارس,فرآورده‌هاي‌ نسوز پارس‌,1592,31912196,153011632772,4615,4720,4694,79,1.71,4795,180,3.9,4650,4845
زگلدشت,كشت و دام گلدشت نمونه اصفهان,1585,7963704,86347547740,10940,10310,11190,250,2.29,10840,-100,-0.91,10310,11230
وشمال,س. چشم انداز توسعه شمال,1568,6152334,144336777500,23900,23450,23550,-350,-1.46,23450,-450,-1.88,23450,23850
رمپنا,گروه مپنا (سهامي عام),1549,29254676,515320861220,16800,16130,17800,1000,5.95,17610,810,4.82,16130,17800
ديران,ايران‌دارو,1538,4501540,92138924030,21270,21450,20250,-1020,-4.8,20470,-800,-3.76,20210,21450
خكاوه,سايپا ديزل,1524,19229437,171309452660,8890,9000,8790,-100,-1.12,8910,20,0.22,8630,9150
كزغال,زغال سنگ پروده طبس,1524,1881976,37748722200,19700,19700,20300,600,3.05,20050,350,1.78,19450,20800
سيتا,سرمايه گذاري سيمان تامين,1505,2409279,27010063530,11280,11320,11140,-140,-1.24,11240,-40,-0.35,11060,11490
سپيدما,صندوق س. سپيد دماوند-د,1485,64034210,808677385346,12613,12629,12629,16,0.13,12629,16,0.13,12628,12633
شصدف,صنعتي دوده فام,1483,1923154,64319281600,34400,33600,33450,-950,-2.76,33450,-950,-2.76,32900,34100
ضخود3057,اختيارخ خودرو-2000-1401/03/04,1480,71463,16405776000,254,206,218,-36,-14.17,230,-24,-9.45,206,256
پارند,صندوق س. پارند پايدار سپهر,1467,44984311,454682562630,10102,10108,10108,6,0.06,10108,6,0.06,10107,10108
خصدرا,صنعتي‌ دريايي‌ ايران‌,1443,44951152,86862562620,1988,1931,1929,-59,-2.97,1932,-56,-2.82,1929,1968
بنو,بيمه تجارت نو,1430,12912443,74536545560,6060,5760,5760,-300,-4.95,5770,-290,-4.79,5760,5950
افق,فروشگاههاي زنجيره اي افق كوروش,1421,1929802,87846724330,47310,46000,44990,-2320,-4.9,45520,-1790,-3.78,44950,46990
قشرين,قند شيرين خراسان,1417,15803765,83631975970,5420,5300,5340,-80,-1.48,5290,-130,-2.4,5260,5450
ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,1406,7171217,31584271831,4408,4346,4390,-18,-0.41,4404,-4,-0.09,4337,4469
غالبر,لبنيات‌ كالبر,1404,7074437,78298778040,11320,10800,11180,-140,-1.24,11070,-250,-2.21,10760,11480
تاصيكو,سرمايه گذاري صدرتامين,1403,13374609,144086690820,10800,10620,10810,10,0.09,10770,-30,-0.28,10530,10840
سكرد,سيمان كردستان,1397,20211929,202713123740,9600,10000,10080,480,5,10030,430,4.48,9640,10080
ولساپا,ليزينگ رايان‌ سايپا,1394,31262308,49899177755,1626,1624,1577,-49,-3.01,1596,-30,-1.85,1570,1648
آرام,صندوق س شاخصي آرام مفيد,1390,10107775,111630607420,11060,11060,11050,-10,-0.09,11040,-20,-0.18,11010,11100
حسير,ريل سير كوثر,1387,3776562,71206229700,19600,18500,18800,-800,-4.08,18850,-750,-3.83,18450,19700
فروي,ذوب روي اصفهان,1379,2961028,48809167550,17010,16780,16210,-800,-4.7,16480,-530,-3.12,16110,17020
پيزد,مجتمع صنايع لاستيك يزد,1364,2120360,26871005160,12820,12730,12500,-320,-2.5,12670,-150,-1.17,12410,13040
پارند2,صندوق س. پارند پايدار سپهر,1364,136400000,136400000,10102,1,1,-10101,-99.99,1,-10101,-99.99,1,1
كچاد,معدني‌وصنعتي‌چادرملو,1359,5029466,82638208580,16460,16320,16410,-50,-0.3,16440,-20,-0.12,16130,16560
امين,تامين سرمايه امين,1357,698781,7526498090,10770,10770,10770,0,0,10770,0,0,10770,10780
لطيف,محصولات كاغذي لطيف,1352,586734,25925860900,44950,43900,44550,-400,-0.89,44200,-750,-1.67,42800,45350
اهرم,صندوق س سهامي كاريزما- اهرمي,1337,25878089,348455084720,14100,13930,13440,-660,-4.68,13470,-630,-4.47,13370,13930
فگستر,گسترش صنايع روي ايرانيان,1336,1537236,11801817820,7640,7370,7730,90,1.18,7670,30,0.39,7360,7960
كلر,كلر پارس,1320,886013,81187310300,90900,89150,91300,400,0.44,91650,750,0.83,89150,92800
فزرين,زرين معدن آسيا,1317,9369473,65787134250,7090,7030,7020,-70,-0.99,7020,-70,-0.99,6870,7290
وگستر,گسترش سرمايه گذاري ايرانيان,1314,9943119,72675579080,7240,7000,7070,-170,-2.35,7310,70,0.97,6860,7640
رافزا,رايان هم افزا,1313,118243,6391780500,54600,54200,53900,-700,-1.28,54350,-250,-0.46,52100,55150
ختور,رادياتور ايران‌,1313,5176286,67473975650,13420,13700,12870,-550,-4.1,13040,-380,-2.83,12750,13700
حگردش,ريل گردش ايرانيان,1308,19397683,50323474137,2670,2593,2590,-80,-3,2594,-76,-2.85,2590,2650
لكما,كارخانجات‌مخابراتي‌ايران‌,1296,35190658,31269109269,915,890,888,-27,-2.95,889,-26,-2.84,888,900
سخواف,سيمان مجد خواف,1292,12604507,110651482390,8570,8800,8820,250,2.92,8780,210,2.45,8570,8820
وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,1284,499691,71888997310,148130,141300,143870,-4260,-2.88,143870,-4260,-2.88,141300,149190
قلرست,قند لرستان‌,1282,3037116,70620793650,24250,23250,23550,-700,-2.89,23250,-1000,-4.12,23040,24200
غچين,كشت‌ و صنعت‌ چين‌ چين,1280,5853350,77756555210,12890,12960,12970,80,0.62,13280,390,3.03,12910,13530
چكارن,كارتن‌ ايران‌,1274,30191490,86067853086,2986,2880,2837,-149,-4.99,2851,-135,-4.52,2837,2921
شسينا,صنايع‌شيميايي‌سينا,1274,22253056,44169323451,2028,1929,1985,-43,-2.12,1985,-43,-2.12,1929,2028
ونوين,بانك‌اقتصادنوين‌,1258,25750746,98032827172,3839,3889,3795,-44,-1.15,3807,-32,-0.83,3770,3889
ضخود4011,اختيارخ خودرو-2000-1401/04/08,1254,49646,15521156000,335,340,299,-36,-10.75,313,-22,-6.57,295,350
اخابر,مخابرات ايران,1250,13243908,102649377260,7760,7480,7910,150,1.93,7750,-10,-0.13,7480,8000
ثمسكن,سرمايه‌گذاري‌ مسكن‌,1233,17812692,74363619323,4054,4000,4220,166,4.09,4175,121,2.98,3943,4278
ولشرق,ليزينگ ايران و شرق,1220,26049197,65807887757,2406,2459,2474,68,2.83,2526,120,4.99,2409,2550
دسانكو,داروسازي سبحان انكولوژي,1201,3655233,41527964420,11310,11070,11270,-40,-0.35,11360,50,0.44,11070,11710
تسه9904,امتياز تسهيلات مسكن تير99,1201,14678,18480609105,1209412,1166666,1269882,60470,5,1259069,49657,4.11,1166666,1269882
هامرز,صندوق س اعتماد هامرز-ثابت,1191,60805710,614618383112,10101,10108,10108,7,0.07,10108,7,0.07,10107,10108
فرآور,فرآوري‌موادمعدني‌ايران‌,1166,2371847,80954366540,33510,33400,34460,950,2.83,34130,620,1.85,31800,35200
شيران,س. صنايع‌شيميايي‌ايران,1163,4468488,89409106350,19990,19990,20200,210,1.05,20010,20,0.1,19500,20220
شسپا,نفت سپاهان,1157,28930161,98676739458,3350,3302,3450,100,2.99,3411,61,1.82,3302,3470
كپارس,كاشي‌ پارس‌,1145,7669544,78508930170,10720,10220,10190,-530,-4.94,10240,-480,-4.48,10190,10460
غپاك,لبنيات‌ پاك‌,1142,4576811,54344584340,12420,11810,11900,-520,-4.19,11870,-550,-4.43,11800,12180
البرز,بيمه البرز,1141,55818029,137578864018,2383,2350,2474,91,3.82,2465,82,3.44,2321,2500
دماوند,توليد نيروي برق دماوند,1138,5272565,109396372750,20250,19400,21250,1000,4.94,20750,500,2.47,19250,21250
