نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
شستا,سرمايه گذاري تامين اجتماعي,17073,861148558,872653012732,1013,1010,1021,8,0.79,1013,0,0,1001,1033
بهير,س. توسعه تجارت هيرمند,15194,34216344,270309117600,7670,7900,7900,230,3,7900,230,3,7900,7900
ددانا,داروسازي دانا,11923,1580930,58889642500,35150,37250,37250,2100,5.97,37250,2100,5.97,37250,37250
خودرو,ايران‌ خودرو,10848,409717996,924711093040,2258,2260,2245,-13,-0.58,2257,-1,-0.04,2237,2288
پالايش,صندوق پالايشي يكم-سهام,10835,10908545,836838468160,76930,76930,76390,-540,-0.7,76710,-220,-0.29,76160,77460
كرمان,س. توسعه و عمران استان كرمان,10417,525643694,528112620610,963,959,1020,57,5.92,1005,42,4.36,944,1020
حكشتي,كشتيراني جمهوري اسلامي ايران,9228,88808571,1960349763710,21080,21450,22130,1050,4.98,22070,990,4.7,21450,22130
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8772,273044604,1038787507313,3807,3830,3780,-27,-0.71,3804,-3,-0.08,3740,3890
تسه1401,امتيازتسهيلات مسكن سال1401,8328,328561,384562337606,1191262,1131699,1140022,-51240,-4.3,1170444,-20818,-1.75,1131699,1250825
شپنا,پالايش نفت اصفهان,8303,122099509,790201772210,6440,6460,6500,60,0.93,6470,30,0.47,6390,6550
خساپا,سايپا,7934,288406762,590992770802,2042,2059,2045,3,0.15,2049,7,0.34,2025,2082
وسپهر,سرمايه گذاري مالي سپهرصادرات,6852,40250734,338097309090,8030,8180,8510,480,5.98,8400,370,4.61,8100,8510
فولاد,فولاد مباركه اصفهان,6780,81883317,1004115118710,12400,12390,12290,-110,-0.89,12260,-140,-1.13,12180,12390
سآبيك,سيمان آبيك,6710,1714634,25496607580,14170,14870,14870,700,4.94,14870,700,4.94,14870,14870
دارا يكم,صندوق واسطه گري مالي يكم-سهام,6595,3883242,447718599630,116070,115030,115200,-870,-0.75,115300,-770,-0.66,114500,116070
تفارس,تامين سرمايه خليج فارس,6481,32286295,103316144000,1000,3200,3200,2200,220,3200,2200,220,3200,3200
مديريت,س. و خدمات مديريت صند. ب كشوري,6323,43640292,395124622840,9470,9250,8920,-550,-5.81,9050,-420,-4.44,8910,9610
اسياتك,انتقال داده هاي آسياتك,6202,6061131,85886226270,13500,14170,14170,670,4.96,14170,670,4.96,14170,14170
سپيد,سپيد ماكيان,5394,13378374,294444406280,22630,22100,22370,-260,-1.15,22010,-620,-2.74,21760,22860
شتران,پالايش نفت تهران,5387,87578334,471698914460,5410,5440,5360,-50,-0.92,5390,-20,-0.37,5330,5440
شبندر,پالايش نفت بندرعباس,5292,80165532,702918310690,8780,8780,8760,-20,-0.23,8770,-10,-0.11,8680,8810
تپكو,توليدتجهيزات‌سنگين‌هپكو,5228,175892967,295667837670,1721,1670,1719,-2,-0.12,1681,-40,-2.32,1670,1739
فملي,ملي‌ صنايع‌ مس‌ ايران‌,5159,82695197,616350722340,7480,7470,7460,-20,-0.27,7450,-30,-0.4,7370,7500
كمند,صندوق س. با درآمد ثابت كمند,5055,229526631,2319966827976,10102,10107,10108,6,0.06,10108,6,0.06,10107,10108
كدما,معدني‌ دماوند,4980,3234573,296823743790,92520,92800,90170,-2350,-2.54,91770,-750,-0.81,88550,94500
خاور,ايران خودرو ديزل,4705,162941878,265669541091,1675,1670,1626,-49,-2.93,1630,-45,-2.69,1625,1689
وبملت,بانك ملت,4592,140558626,542694398003,3862,3889,3890,28,0.73,3861,-1,-0.03,3810,3900
تليسه,دامداري تليسه نمونه,4542,77437426,333985440848,4534,4300,4370,-164,-3.62,4313,-221,-4.87,4262,4450
غزر,صنعتي زر ماكارون,4446,17488501,174024426560,10390,10000,9880,-510,-4.91,9950,-440,-4.23,9880,10230
ذوب,ذوب آهن اصفهان,4368,89723697,251653403625,2846,2826,2780,-66,-2.32,2805,-41,-1.44,2760,2868
حگهر,حمل و نقل گهرترابر سيرجان,4230,26846916,238210961640,8850,8700,8840,-10,-0.11,8870,20,0.23,8420,9130
شلرد,كود شيميايي اوره لردگان,4223,41544537,530871649250,12440,12810,12670,230,1.85,12780,340,2.73,12590,12810
انرژي,بورس انرژي ايران,4183,4348146,259707400230,60550,60480,59190,-1360,-2.25,59730,-820,-1.35,58900,61600
وتجارت,بانك تجارت,4069,116717471,248585116205,2125,2140,2137,12,0.56,2130,5,0.24,2102,2155
وتوصا,گروه س توسعه صنعتي ايران,4055,31037272,301066441190,10250,9890,9850,-400,-3.9,9700,-550,-5.37,9640,10110
خبنيان,بنيان ديزل,4029,82067786,341680005674,4134,4105,4241,107,2.59,4163,29,0.7,4010,4258
وبصادر,بانك صادرات ايران,4004,125982671,269932254556,2151,2121,2138,-13,-0.6,2143,-8,-0.37,2121,2176
بركت,گروه دارويي بركت,3963,13827564,248647530690,17560,17900,17580,20,0.11,17980,420,2.39,17560,18300
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3681,67891989,157155387929,2337,2291,2300,-37,-1.58,2315,-22,-0.94,2280,2380
سمگا,گروه سرمايه گذاري ميراث فرهنگي,3661,25160387,224307204060,9200,9000,8920,-280,-3.04,8920,-280,-3.04,8760,9150
خپارس,پارس‌ خودرو,3598,134272103,157504192371,1178,1177,1173,-5,-0.42,1173,-5,-0.42,1153,1199
قثابت,قند ثابت‌ خراسان‌,3595,99358994,323078013004,3101,3140,3256,155,5,3252,151,4.87,3140,3256
كاما,باما,3593,26738264,168256881510,6510,6380,6260,-250,-3.84,6290,-220,-3.38,6160,6510
فروسيل,فروسيليسيم خمين,3586,10016448,364409566950,35500,36000,37250,1750,4.93,36400,900,2.54,35750,37250
كالا,بورس كالاي ايران,3540,9657058,252264063980,26010,25750,25920,-90,-0.35,26120,110,0.42,25540,26870
آريا,پليمر آريا ساسول,3515,2046370,161837528600,79150,79000,79250,100,0.13,79100,-50,-0.06,78200,79500
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,3486,72944190,3244254254810,44446,44476,44477,31,0.07,44476,30,0.07,44475,44478
بترانس,ايران‌ ترانسفو,3474,104618121,263016811565,2531,2460,2527,-4,-0.16,2514,-17,-0.67,2429,2588
وكبهمن,مديريت سرمايه گذاري كوثربهمن,3438,9366866,56805527940,6020,6150,6130,110,1.83,6060,40,0.66,5750,6270
سيمرغ,سيمرغ,3428,10901100,285712641590,26930,26010,26500,-430,-1.6,26210,-720,-2.67,25540,26760
ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,3400,67380515,385956067080,5830,5800,5630,-200,-3.43,5730,-100,-1.72,5550,5960
فلوله,لوله‌وماشين‌سازي‌ايران‌,3378,130149929,253373985574,2043,1942,1941,-102,-4.99,1947,-96,-4.7,1941,1998
ثاميد,توسعه و عمران اميد,3335,47259177,74633402568,1570,1521,1620,50,3.18,1579,9,0.57,1505,1628
فرابورس,فرابورس ايران,3286,15973181,224983986080,14230,14000,14030,-200,-1.41,14090,-140,-0.98,13710,14600
هماي,صندوق س هماي آگاه-ثابت,3263,103856299,1040453036662,10013,10018,10020,7,0.07,10018,5,0.05,10016,10020
خموتور,موتورسازان‌تراكتورسازي‌ايران‌,3207,45554517,209930040535,4691,4774,4457,-234,-4.99,4608,-83,-1.77,4457,4774
فخوز,فولاد  خوزستان,3188,73729712,438950801350,6060,6050,5900,-160,-2.64,5950,-110,-1.82,5860,6080
كيان,صندوق س. با درآمد ثابت كيان,3122,27761959,970898019985,34952,34971,34973,21,0.06,34972,20,0.06,34970,34974
شپاكسا,پاكسان‌,3112,76476599,220303210481,2776,2800,2854,78,2.81,2881,105,3.78,2692,2942
سبزوا,سيمان لار سبزوار,3102,46409675,197242085544,4030,4040,4271,241,5.98,4250,220,5.46,3920,4271
فنفت,صنايع تجهيزات نفت,3078,13024337,412704563350,32450,31700,32550,100,0.31,31700,-750,-2.31,31500,32950
غدام,خوراك‌  دام‌ پارس‌,3045,2198461,130217865150,59800,58420,57760,-2040,-3.41,59230,-570,-0.95,57390,61500
غگل,گلوكوزان‌,3037,41903096,222279380300,5160,5000,5350,190,3.68,5300,140,2.71,5000,5400
سدبير,س. تدبيرگران فارس وخوزستان,2979,5751135,166161829800,30500,28750,28750,-1750,-5.74,28900,-1600,-5.25,28700,30750
بپيوند,برق و انرژي پيوندگستر پارس,2967,8051725,102024839000,12190,12190,12920,730,5.99,12670,480,3.94,11900,12920
پارس,پتروشيمي پارس,2898,61152748,166665951566,2722,2778,2730,8,0.29,2725,3,0.11,2700,2778
هاي وب,داده گسترعصرنوين-هاي وب,2845,18157613,173652073230,9640,9600,9540,-100,-1.04,9560,-80,-0.83,9300,9810
لپارس,پارس‌ الكتريك‌,2826,1246661,137807797200,109540,106000,112040,2500,2.28,110540,1000,0.91,106000,113600
سصفها,سيمان‌اصفهان‌,2799,3665177,205831221570,54330,56700,56290,1960,3.61,56160,1830,3.37,54010,56700
خبهمن,گروه‌بهمن‌,2790,74478850,137838216468,1842,1844,1860,18,0.98,1851,9,0.49,1826,1890
فارس,صنايع پتروشيمي خليج فارس,2777,13591668,114939588260,8440,8440,8460,20,0.24,8460,20,0.24,8410,8510
ثبات,صندوق س. ثبات ويستا -د,2744,135864875,1576141642859,11593,11599,11601,8,0.07,11601,8,0.07,11599,11601
غنوش,نوش‌ مازندران‌,2727,21196857,240748143080,11000,11220,11550,550,5,11360,360,3.27,10960,11550
خريخت,صنايع‌ريخته‌گري‌ايران‌,2724,57593556,198570088104,3377,3500,3340,-37,-1.1,3448,71,2.1,3308,3545
غكورش,صنعت غذايي كورش,2717,5402792,238575104050,45260,44490,44370,-890,-1.97,44160,-1100,-2.43,43290,45140
زقيام,كشت و دام قيام اصفهان,2701,51872894,134675437791,2519,2579,2645,126,5,2596,77,3.06,2473,2658
ثبهساز,بهساز كاشانه تهران,2693,30104303,48456731025,1556,1526,1633,77,4.95,1610,54,3.47,1525,1633
چخزر,صنايع چوب خزر كاسپين,2628,2159455,62608521500,30300,29000,29100,-1200,-3.96,29000,-1300,-4.29,28800,30400
