نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
فروسيل,فروسيليسيم خمين,82162,38342006,1361141213000,33850,35500,35500,1650,4.87,35500,1650,4.87,35500,35500
ددانا,داروسازي دانا,46450,3320123,116702323450,33200,35150,35150,1950,5.87,35150,1950,5.87,35150,35150
شستا,سرمايه گذاري تامين اجتماعي,23027,1223923316,1239748383534,1039,1039,1009,-30,-2.89,1013,-26,-2.5,1002,1044
بهير,س. توسعه تجارت هيرمند,18849,23051251,176809455730,7730,7940,7960,230,2.98,7670,-60,-0.78,7500,7960
خودرو,ايران‌ خودرو,18384,720657574,1626897902319,2360,2350,2243,-117,-4.96,2258,-102,-4.32,2242,2353
خساپا,سايپا,18221,919913865,1878244655587,2137,2101,2033,-104,-4.87,2042,-95,-4.45,2031,2128
پالايش,صندوق پالايشي يكم-سهام,17292,18473631,1421241722790,79350,79010,76550,-2800,-3.53,76930,-2420,-3.05,75740,79010
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,15862,724597187,2758805106365,4038,3900,3797,-241,-5.97,3807,-231,-5.72,3796,3940
حگهر,حمل و نقل گهرترابر سيرجان,12917,48069860,425389985160,9100,9500,8560,-540,-5.93,8850,-250,-2.75,8560,9500
شپنا,پالايش نفت اصفهان,12340,196362049,1264501848940,6570,6600,6490,-80,-1.22,6440,-130,-1.98,6320,6640
دارا يكم,صندوق واسطه گري مالي يكم-سهام,11029,6747743,783209189000,118900,118680,114990,-3910,-3.29,116070,-2830,-2.38,114510,118680
كدما,معدني‌ دماوند,10825,8460262,782729171040,91670,96250,93000,1330,1.45,92520,850,0.93,87230,96250
اسياتك,انتقال داده هاي آسياتك,10139,7397314,99863739000,12860,13500,13500,640,4.98,13500,640,4.98,13500,13500
مديريت,س. و خدمات مديريت صند. ب كشوري,9954,70385050,666715390020,9820,9820,9250,-570,-5.8,9470,-350,-3.56,9240,10100
كرمان,س. توسعه و عمران استان كرمان,9818,475323050,457929747118,1016,1002,960,-56,-5.51,963,-53,-5.22,956,1016
شتران,پالايش نفت تهران,9759,180150675,974521006280,5590,5600,5390,-200,-3.58,5410,-180,-3.22,5320,5620
شبندر,پالايش نفت بندرعباس,9256,131801664,1157310259700,9000,9010,8800,-200,-2.22,8780,-220,-2.44,8600,9120
وسديد,گروه ‌صنعتي‌سديد,8925,193419471,271570475817,1365,1405,1405,40,2.93,1404,39,2.86,1361,1405
قثابت,قند ثابت‌ خراسان‌,8728,258554773,801657743123,2990,3139,3139,149,4.98,3101,111,3.71,2959,3139
فولاد,فولاد مباركه اصفهان,8431,100386697,1245281441210,12540,12550,12330,-210,-1.67,12400,-140,-1.12,12270,12580
وتجارت,بانك تجارت,7760,292012823,620455351637,2252,2175,2118,-134,-5.95,2125,-127,-5.64,2117,2175
فملي,ملي‌ صنايع‌ مس‌ ايران‌,7431,116217564,868870481830,7550,7560,7490,-60,-0.79,7480,-70,-0.93,7370,7580
خپارس,پارس‌ خودرو,6682,366878707,432160480768,1231,1217,1173,-58,-4.71,1178,-53,-4.31,1170,1225
حكشتي,كشتيراني جمهوري اسلامي ايران,6672,39228583,826864396870,20880,21500,21450,570,2.73,21080,200,0.96,20110,21770
وبصادر,بانك صادرات ايران,6403,248526801,534623741324,2209,2220,2115,-94,-4.26,2151,-58,-2.63,2103,2220
بركت,گروه دارويي بركت,6387,24958800,438190116970,16940,17200,17700,760,4.49,17560,620,3.66,16920,17850
وبملت,بانك ملت,6343,223323400,862393143782,3956,3960,3820,-136,-3.44,3862,-94,-2.38,3782,3998
كمند,صندوق س. با درآمد ثابت كمند,6263,285950565,2888553668122,10097,10101,10101,4,0.04,10102,5,0.05,10101,10102
وخارزم,سرمايه گذاري خوارزمي,6137,94305027,448687394890,5020,5000,4740,-280,-5.58,4760,-260,-5.18,4720,5000
سآبيك,سيمان آبيك,6065,1600241,22675414970,13500,14170,14170,670,4.96,14170,670,4.96,14170,14170
خبهمن,گروه‌بهمن‌,5854,218408718,402248974462,1935,1940,1854,-81,-4.19,1842,-93,-4.81,1819,1940
فرابورس,فرابورس ايران,5828,36950323,525870375470,15050,15040,14220,-830,-5.51,14230,-820,-5.45,14150,15050
خبنيان,بنيان ديزل,5434,146299967,604808130108,4177,4052,4054,-123,-2.94,4134,-43,-1.03,4052,4302
كالا,بورس كالاي ايران,5401,17128073,445493811200,27450,27450,25860,-1590,-5.79,26010,-1440,-5.25,25810,27500
ذوب,ذوب آهن اصفهان,5295,133654363,380446962098,2946,2960,2825,-121,-4.11,2846,-100,-3.39,2800,2991
غدام,خوراك‌  دام‌ پارس‌,5229,5482728,327878552460,61490,62670,58420,-3070,-4.99,59800,-1690,-2.75,58420,64560
هاي وب,داده گسترعصرنوين-هاي وب,4922,40504179,390437026250,10110,10100,9570,-540,-5.34,9640,-470,-4.65,9510,10250
انرژي,بورس انرژي ايران,4858,5482804,331994781690,63320,63990,60390,-2930,-4.63,60550,-2770,-4.37,60160,63990
سپيد,سپيد ماكيان,4698,23760652,537734352290,23730,23340,22550,-1180,-4.97,22630,-1100,-4.64,22550,23490
وليزح,ح . ليزينگ‌ايران‌,4554,2060941330,3382004722530,1641,1641,1641,0,0,1641,0,0,1641,1641
تجلي,تجلي توسعه معادن و فلزات,4462,148196304,223743471353,1576,1576,1521,-55,-3.49,1510,-66,-4.19,1498,1579
