نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
فروژ,صنايع فروآلياژ ايران,105413,41799779,2171127107400,49500,51950,51950,2450,4.95,51950,2450,4.95,50500,51950
گدنا,تهيه توزيع غذاي دنا آفرين فدك,35199,263678562,3294404947010,12030,12870,12870,840,6.98,12490,460,3.82,11600,12870
خودرو,ايران‌ خودرو,34319,1511241065,4740116710902,3231,3341,3154,-77,-2.38,3137,-94,-2.91,3070,3359
خساپا,سايپا,28310,1646720854,4080284294580,2415,2530,2467,52,2.15,2478,63,2.61,2328,2535
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,26606,717229754,3030886111230,4374,4510,4187,-187,-4.28,4226,-148,-3.38,4068,4540
پالايش,صندوق پالايشي يكم-سهام,17032,19311469,2291875275550,119180,120500,119000,-180,-0.15,118680,-500,-0.42,116500,120900
شتران,پالايش نفت تهران,16280,402402556,1741949207556,4370,4410,4288,-82,-1.88,4329,-41,-0.94,4240,4480
دي,بانك دي,14948,665446942,578714463197,861,881,863,2,0.23,870,9,1.05,836,900
شستا,سرمايه گذاري تامين اجتماعي,13565,629196934,651713481539,1043,1062,1029,-14,-1.34,1036,-7,-0.67,1017,1068
طلا,صندوق س.پشتوانه طلاي لوتوس,11705,10390609,1657760155745,168722,164500,156700,-12022,-7.13,159544,-9178,-5.44,154802,165800
دارا يكم,صندوق واسطه گري مالي يكم-سهام,10994,13518276,1617575668960,120210,122450,118050,-2160,-1.8,119660,-550,-0.46,116800,122990
عيار,صندوق طلاي عيار مفيد,10378,12733743,827982630682,70071,70153,63315,-6756,-9.64,65023,-5048,-7.2,63064,70480
اهرم,صندوق س سهامي كاريزما- اهرمي,10323,149532573,2165086540040,14540,14900,14310,-230,-1.58,14480,-60,-0.41,13810,15030
كرمان,س. توسعه و عمران استان كرمان,10193,475618533,549605780472,1136,1195,1150,14,1.23,1156,20,1.76,1110,1198
شپنا,پالايش نفت اصفهان,10089,165589522,1269463555530,7750,7830,7710,-40,-0.52,7670,-80,-1.03,7510,7880
شبندر,پالايش نفت بندرعباس,9824,139565686,1302441159320,9390,9480,9300,-90,-0.96,9330,-60,-0.64,9160,9510
خاور,ايران خودرو ديزل,9090,336344721,1244602472829,3713,3818,3718,5,0.13,3700,-13,-0.35,3602,3824
وتجارت,بانك تجارت,8823,352007413,633103606139,1816,1870,1776,-40,-2.2,1799,-17,-0.94,1745,1872
وبملت,بانك ملت,8509,330246579,1175594624786,3594,3635,3529,-65,-1.81,3560,-34,-0.95,3470,3695
تسه1401,امتيازتسهيلات مسكن سال1401,7716,304521,371240677093,1207264,1225000,1210027,2763,0.23,1219097,11833,0.98,1160000,1225000
غزر,صنعتي زر ماكارون,7348,81335293,345097451313,4331,4435,4208,-123,-2.84,4243,-88,-2.03,4116,4435
فولاد,فولاد مباركه اصفهان,7263,136778785,852041899700,6180,6240,6260,80,1.29,6230,50,0.81,6110,6380
كالا,بورس كالاي ايران,6836,37899298,755438614070,20090,20610,19930,-160,-0.8,19930,-160,-0.8,19260,20720
فملي,ملي‌ صنايع‌ مس‌ ايران‌,6636,103056988,805151440810,7700,7820,7830,130,1.69,7810,110,1.43,7690,8050
هماي,صندوق س هماي آگاه-ثابت,6619,198080264,1984557822713,10013,10019,10020,7,0.07,10019,6,0.06,10018,10020
فزر,پويا زركان آق دره,6549,19188148,663400155600,35900,36750,34300,-1600,-4.46,34550,-1350,-3.76,33750,36750
فتوسا,توليد و توسعه سرب روي ايرانيان,6368,44447212,352660940070,7940,8060,8080,140,1.76,7930,-10,-0.13,7450,8400
حفارس,حمل و نقل بين المللي خليج فارس,6178,89880675,1411638551910,15300,15500,15480,180,1.18,15710,410,2.68,15080,16060
وساپا,سرمايه‌گذاري‌ سايپا,6001,134094061,786153646730,5980,6200,5850,-130,-2.17,5860,-120,-2.01,5570,6290
افران,صندوق س افرا نماد پايدار-ثابت,5958,165831779,3143425949630,18942,18955,18956,14,0.07,18956,14,0.07,18955,18956
خبهمن,گروه‌بهمن‌,5913,226216589,506743109613,2290,2360,2200,-90,-3.93,2240,-50,-2.18,2157,2371
هاي وب,داده گسترعصرنوين-هاي وب,5862,172690671,467417186617,2684,2754,2669,-15,-0.56,2707,23,0.86,2600,2800
خنصير,مهندسي‌نصيرماشين‌,5775,31490909,527139860290,17400,17710,16400,-1000,-5.75,16740,-660,-3.79,16190,18390
تليسه,دامداري تليسه نمونه,5557,82552170,338142137870,3969,4120,4079,110,2.77,4096,127,3.2,3930,4210
حكشتي,كشتيراني جمهوري اسلامي ايران,5302,21779628,601216518160,27620,28000,27490,-130,-0.47,27600,-20,-0.07,26330,28460
انرژي,بورس انرژي ايران,5146,8204995,338196133110,42230,43150,40560,-1670,-3.95,41220,-1010,-2.39,39800,43550
وپاسار,بانك  پاسارگاد,4871,68042953,367455522030,5480,5550,5310,-170,-3.1,5400,-80,-1.46,5230,5670
دانا,بيمه دانا,4865,116467002,357157609238,3077,3100,3036,-41,-1.33,3067,-10,-0.32,2958,3238
كمند,صندوق س. با درآمد ثابت كمند,4852,198484874,2007153285700,10106,10112,10113,7,0.07,10112,6,0.06,10112,10113
فرابورس,فرابورس ايران,4838,30839115,349148192680,11190,11530,11270,80,0.71,11320,130,1.16,10810,11710
بوعلي,پتروشيمي بوعلي سينا,4774,12374617,445800736820,34520,35710,36240,1720,4.98,36030,1510,4.37,35200,36240
ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,4772,89633516,625602075760,6930,7270,7000,70,1.01,6980,50,0.72,6450,7320
وسپهر,سرمايه گذاري مالي سپهرصادرات,4743,20061097,177866122030,9240,9470,8800,-440,-4.76,8870,-370,-4,8610,9470
نهال,صندوق س. طلاي سرخ نوويرا,4653,22895009,358191173234,14889,15690,15435,546,3.67,15645,756,5.08,15377,15940
ضسپا1211,اختيارخ خساپا-3250-1401/12/10,4553,1853364,123827948000,78,91,54,-24,-30.77,67,-11,-14.1,42,99
ثاميد,توسعه و عمران اميد,4428,41385063,78032383437,1843,1900,1905,62,3.36,1886,43,2.33,1846,1927
اسياتك,انتقال داده هاي آسياتك,4345,11171160,185456402690,16900,17000,16320,-580,-3.43,16600,-300,-1.78,16100,17100
شپديس,پتروشيمي پرديس,4332,3078223,486754509930,158590,160000,157200,-1390,-0.88,158130,-460,-0.29,156700,160850
وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,4210,5896548,761343003450,127900,129800,129850,1950,1.52,129120,1220,0.95,126010,131990
فاذر,صنايع‌ آذرآب‌,4199,350430646,600797178249,1636,1717,1717,81,4.95,1714,78,4.77,1640,1717
ولساپا,ليزينگ رايان‌ سايپا,4195,213936537,357381584192,1748,1800,1661,-87,-4.98,1671,-77,-4.41,1626,1800
خمحركه,نيرو محركه‌,4132,56738745,345021851730,6250,6370,6090,-160,-2.56,6080,-170,-2.72,5820,6490
وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,4113,337567445,578970265573,1608,1710,1720,112,6.97,1715,107,6.65,1680,1720
ختوقا,قطعات‌ اتومبيل‌ ايران‌,3981,70094891,329338428250,4750,4820,4640,-110,-2.32,4700,-50,-1.05,4430,5030
كوير,توليدي فولاد سپيد فراب كوير,3943,77278065,265346236067,3442,3472,3390,-52,-1.51,3434,-8,-0.23,3270,3574
غنوش,نوش‌ مازندران‌,3903,24981744,239768269990,9670,9850,9490,-180,-1.86,9600,-70,-0.72,9260,10030
خكار,ايركا پارت صنعت,3881,125377421,418787148804,3147,3335,3367,220,6.99,3340,193,6.13,3102,3367
وكبهمن,مديريت سرمايه گذاري كوثربهمن,3850,47583725,170596244463,3414,3624,3526,112,3.28,3585,171,5.01,3502,3635
وبصادر,بانك صادرات ايران,3834,281260852,541744542944,1921,1958,1894,-27,-1.41,1926,5,0.26,1870,1979
نوري,پتروشيمي نوري,3824,3308041,340641373720,103010,105320,102490,-520,-0.5,102970,-40,-0.04,101900,105320
شيراز,پتروشيمي‌شيراز,3816,5869683,512654575750,83800,86380,87950,4150,4.95,87340,3540,4.22,84810,89660
مثقال,صندوق س.پشتوانه طلاي زرين آگاه,3810,12898967,255096078784,20666,22700,19155,-1511,-7.31,19776,-890,-4.31,19100,22700
قچار,فراوردههاي غذايي وقند چهارمحال,3727,22694967,257413176460,11470,11690,11110,-360,-3.14,11340,-130,-1.13,10950,11880
پترول,گ.س.وت.ص.پتروشيمي خليج فارس,3705,87186874,206689618273,2421,2442,2345,-76,-3.14,2371,-50,-2.07,2300,2480
اردستان,سيمان اردستان,3574,1725679,19224064060,10610,11140,11140,530,5,11140,530,5,11140,11140
آپ,آسان پرداخت پرشين,3545,38772566,293753150880,7230,7330,7730,500,6.92,7580,350,4.84,7330,7730
اعتماد,صندوق س.اعتماد آفرين پارسيان-د,3529,66519278,3405005801174,51147,51186,51187,40,0.08,51188,41,0.08,51186,51216
شبريز,پالايش نفت تبريز,3490,13259186,222202677000,16760,16940,16680,-80,-0.48,16760,0,0,16350,17290
