نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
فروژ,صنايع فروآلياژ ايران,172102,30257634,1576386894250,51950,53250,51750,-200,-0.38,52100,150,0.29,50550,53300
گدنا,تهيه توزيع غذاي دنا آفرين فدك,26559,186802861,2241792855660,12490,12870,11690,-800,-6.41,12000,-490,-3.92,11620,13000
خودرو,ايران‌ خودرو,17441,583407169,1829098296673,3137,3171,3170,33,1.05,3135,-2,-0.06,3064,3190
دي,بانك دي,15259,681068992,576127858176,870,862,855,-15,-1.72,846,-24,-2.76,828,868
كرمان,س. توسعه و عمران استان كرمان,13773,690551637,828337880097,1156,1165,1236,80,6.92,1200,44,3.81,1114,1236
اردستان,سيمان اردستان,13732,4475368,52317051920,11140,11690,11690,550,4.94,11690,550,4.94,11690,11690
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,13498,304816434,1288088786304,4226,4250,4270,44,1.04,4226,0,0,4120,4323
پالايش,صندوق پالايشي يكم-سهام,12892,13821930,1618539434060,118680,119000,116440,-2240,-1.89,117100,-1580,-1.33,116180,119190
خساپا,سايپا,11856,470445698,1182481826110,2478,2511,2545,67,2.7,2514,36,1.45,2460,2559
شستا,سرمايه گذاري تامين اجتماعي,11695,490470234,499611546278,1036,1038,1020,-16,-1.54,1019,-17,-1.64,1013,1038
شتران,پالايش نفت تهران,10487,218372827,921078459256,4329,4289,4211,-118,-2.73,4218,-111,-2.56,4190,4310
دارا يكم,صندوق واسطه گري مالي يكم-سهام,9962,10639828,1241255527170,119660,117600,116090,-3570,-2.98,116660,-3000,-2.51,115200,118280
گشان,توسعه بين المللي پديده شانديز,9151,30672900,1458140461850,46500,47850,47850,1350,2.9,47550,1050,2.26,45400,47850
طلا,صندوق س.پشتوانه طلاي لوتوس,8170,8678753,1309007552964,159544,155860,149799,-9745,-6.11,150829,-8715,-5.46,148298,155860
خاور,ايران خودرو ديزل,8120,290286233,1046756461705,3700,3700,3591,-109,-2.95,3606,-94,-2.54,3589,3705
وتجارت,بانك تجارت,8102,296918899,519196624351,1799,1795,1748,-51,-2.83,1749,-50,-2.78,1720,1799
